iter	Passed	Remaining
0	1	173
1	3	153
2	4	147
3	5	137
4	7	136
5	8	133
6	10	133
7	11	136
8	13	134
9	14	133
10	16	131
11	17	131
12	19	129
13	20	126
14	21	124
15	23	123
16	25	122
17	26	122
18	28	121
19	29	119
20	31	117
21	32	115
22	34	114
23	35	112
24	36	110
25	38	109
26	39	107
27	41	107
28	43	106
29	45	105
30	46	103
31	47	101
32	49	100
33	51	99
34	52	97
35	53	95
36	55	93
37	56	92
38	58	91
39	59	89
40	61	87
41	61	85
42	63	83
43	64	82
44	65	80
45	67	78
46	68	77
47	70	76
48	71	74
49	73	73
50	74	71
51	76	70
52	77	69
53	79	67
54	80	65
55	81	64
56	83	62
57	84	61
58	86	59
59	87	58
60	89	57
61	90	55
62	92	54
63	94	52
64	95	51
65	97	50
66	98	48
67	100	47
68	102	46
69	104	44
70	105	43
71	107	41
72	108	40
73	109	38
74	111	37
75	113	35
76	114	34
77	116	32
78	117	31
79	119	29
80	121	28
81	122	26
82	124	25
83	125	23
84	127	22
85	128	20
86	130	19
87	132	18
88	133	16
89	135	15
90	136	13
91	138	12
92	139	10
93	141	9
94	142	7
95	143	5
96	145	4
97	146	2
98	148	1
99	149	0
